[i] Train : 19922
[i] Valid : 2214
[i] prediction_op : Tensor("concat:0", shape=(?, 7, 7, 2, 25), dtype=float32)
[i] max_iteration : 249000
[i] decay_iteration : [124500 186750]
[i] iter : 50, loss : 30.6577, xy_loss : 2.0942, wh_loss : 0.7924, obj_loss : 0.2474, noobj_loss : 12.5972, class_loss : 5.1950, l2_reg_loss : 9.7315, train_time : 75sec
[i] iter : 100, loss : 27.4240, xy_loss : 1.7209, wh_loss : 0.5116, obj_loss : 0.2504, noobj_loss : 11.6345, class_loss : 3.5852, l2_reg_loss : 9.7215, train_time : 63sec
[i] iter : 150, loss : 26.1139, xy_loss : 1.4585, wh_loss : 0.4207, obj_loss : 0.2465, noobj_loss : 11.3257, class_loss : 2.9515, l2_reg_loss : 9.7111, train_time : 61sec
[i] iter : 200, loss : 26.2167, xy_loss : 1.6002, wh_loss : 0.4501, obj_loss : 0.2911, noobj_loss : 11.1049, class_loss : 3.0698, l2_reg_loss : 9.7006, train_time : 62sec
[i] iter : 250, loss : 25.7712, xy_loss : 1.5380, wh_loss : 0.4091, obj_loss : 0.2645, noobj_loss : 11.0461, class_loss : 2.8232, l2_reg_loss : 9.6903, train_time : 59sec
[i] iter : 300, loss : 25.4136, xy_loss : 1.4642, wh_loss : 0.4072, obj_loss : 0.2618, noobj_loss : 10.9432, class_loss : 2.6574, l2_reg_loss : 9.6798, train_time : 58sec
[i] iter : 350, loss : 25.5090, xy_loss : 1.5352, wh_loss : 0.4780, obj_loss : 0.2763, noobj_loss : 10.8117, class_loss : 2.7385, l2_reg_loss : 9.6693, train_time : 56sec
[i] iter : 400, loss : 24.9250, xy_loss : 1.4063, wh_loss : 0.3916, obj_loss : 0.2542, noobj_loss : 10.7685, class_loss : 2.4456, l2_reg_loss : 9.6588, train_time : 57sec
[i] iter : 450, loss : 24.7066, xy_loss : 1.4517, wh_loss : 0.3681, obj_loss : 0.2446, noobj_loss : 10.6742, class_loss : 2.3197, l2_reg_loss : 9.6483, train_time : 54sec
[i] iter : 500, loss : 24.8055, xy_loss : 1.4141, wh_loss : 0.4096, obj_loss : 0.2537, noobj_loss : 10.6055, class_loss : 2.4848, l2_reg_loss : 9.6378, train_time : 55sec
[i] iter : 550, loss : 24.5058, xy_loss : 1.3598, wh_loss : 0.3707, obj_loss : 0.2501, noobj_loss : 10.5622, class_loss : 2.3357, l2_reg_loss : 9.6273, train_time : 53sec
